k       nbComp          temps           temps_cumulé            PourcentageExploration
266     475000          0.00493         3.61987         0
265     475000          0.005333                3.6252          0
264     475000          0.004835                3.63004         0
263     475000          0.004904                3.63494         0
262     475000          0.004844                3.63978         0
261     475000          0.004805                3.64459         0
260     475000          0.004871                3.64946         0
259     475000          0.004908                3.65437         0
258     475000          0.004881                3.65925         0
257     475000          0.004767                3.66402         0
256     475000          0.005317                3.66933         0
255     475000          0.004886                3.67422         0
254     475000          0.005013                3.67923         0
253     475000          0.004866                3.6841          0
252     475000          0.004824                3.68892         0
251     475000          0.004789                3.69371         0
250     475000          0.004878                3.69859         0
249     475000          0.00479         3.70338         0
248     475000          0.004833                3.70821         0
247     475000          0.005315                3.71353         0
246     475000          0.004998                3.71853         0
245     475000          0.00487         3.7234          0
244     475000          0.004826                3.72822         0
243     475000          0.004786                3.73301         0
242     475000          0.004832                3.73784         0
241     475000          0.004871                3.74271         0
240     475000          0.004856                3.74757         0
239     475000          0.004877                3.75244         0
238     475000          0.005304                3.75775         0
237     475000          0.00494         3.76269         0
236     475000          0.004844                3.76753         0
235     475000          0.004845                3.77238         0
234     475000          0.004815                3.77719         0
233     475000          0.005153                3.78234         0
232     475000          0.004778                3.78712         0
231     475000          0.00483         3.79195         0
230     475000          0.00479         3.79674         0
229     475000          0.005421                3.80216         0
228     475000          0.004908                3.80707         0
227     475000          0.004976                3.81205         0
